Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
13371,632777,612732928,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13372,3552292,612732928,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13373,1318022,612732928,26873856,735334400,582994,0,22613,0,0,0,0,0,0,1533,1728.0,3348.0,0.0,76.0,0.0,1.0
13374,3075808,612732928,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13375,676338,612732928,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13376,2803939,612999168,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13377,660990,612999168,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13378,3519220,612999168,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13379,663936,612999168,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13380,3505214,612999168,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13381,1273819,612999168,26873856,735334400,569578,0,22813,0,0,0,0,0,0,1773,1728.0,3348.0,0.0,76.0,0.0,1.0
13382,6037252,612999168,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13383,6788701,612999168,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13384,3385509,612999168,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
